ID_BB_COMPANY,LONG_COMP_NAME,ID_BB_PARENT_CO,LONG_PARENT_COMP_NAME,INDUSTRY_SECTOR,INDUSTRY_GROUP,INDUSTRY_SUBGROUP,CNTRY_OF_DOMICILE,CNTRY_OF_INCORPORATION,CNTRY_OF_RISK,STATE_OF_DOMICILE,STATE_OF_INCORPORATION,COMPANY_ADDRESS,IS_ULT_PARENT,OBLIG_INDUSTRY_SUBGROUP,ACQUIRED_BY_PARENT,COMPANY_TO_PARENT_RELATIONSHIP,ISSUER_NAME_TYPES,ID_BB_ULTIMATE_PARENT_CO,LONG_ULT_PARENT_COMP_NAME,COMPANY_CORP_TICKER,ULT_PARENT_CNTRY_OF_RISK,ULT_PARENT_TICKER_EXCHANGE,ULT_PARENT_CNTRY_INCORPORATION,ULT_PARENT_CNTRY_DOMICILE,INDUSTRY_SUBGROUP_NUM,COMPANY_LEGAL_NAME,OBLIGOR_BBID,ID_BB_GLOBAL_COMPANY,ID_BB_GLOBAL_PARENT_CO,ID_BB_GLOBAL_ULTIMATE_PARENT_CO,ID_BB_GLOBAL_OBLIGOR_COMPANY,ID_BB_GLOBAL_COMPANY_NAME,ID_BB_GLOBAL_PARENT_COMPANY_NAME,ID_BB_GLOBAL_ULT_PARENT_CO_NAME,ID_BB_GLOBAL_OBLIGOR_NAME,INDUSTRY_SECTOR_NUM,INDUSTRY_GROUP_NUM,LEGAL_ENTITY_IDENTIFIER,LEI_ENTITY_STATUS,LEI_LEGAL_FORM,LEI_ASSIGNED_DATE,LEI_LAST_UPDATE,LEI_DISABLED_DATE,LEI_REGISTRATION_ADDRESS,LEI_RECORD_STATE,LEI_MAINTENANCE_STATE,LEI_NEXT_MAINTENANCE_DATE,PARENT_OBLIGOR_ID,PARENT_OBLIGOR_NAME,COUNTRY_RISK_ISO_CODE,ID_REPLACEMENT_IDENTIFIER,COMPANY_WEB_ADDRESS,COMPANY_IS_PRIVATE,ULT_PARENT_CORP_TICKER,LEI_NAME,LEI_ULTIMATE_PARENT_COMPANY,COMPANY_FAX_NUMBER,COMPANY_TEL_NUMBER,ALTERNATE_COMPANY_NAME,PREVIOUS_COMPANY_NAMES,OTHER_LEI_NAME,MANAGING_LOCAL_OPER_UNIT_NAME,MANAGING_LOCAL_OPER_UNIT_LEI,LEI_VALIDATION_SOURCES,ULTIMATE_OBLIGOR_ID,ULTIMATE_OBLIGOR_NAME,ISO_COUNTRY_OF_OBLIGOR,SYNTHETIC_ENTITY_INDICATOR,ISSUER_BBID,COMPANY_STATUS
59964955,TPH-Rak Oy,, , , , ,FI,FI,FI,N.A.,N.A., ,N.A., ,N, ,Company,, , , , , , ,,TPH-RAK Oy,,BBG00KK4KL69,N.A.,N.A.,N.A.,TPH-Rak Oy,N.A.,N.A.,N.A.,,,7437006BNB81ZWGI4354,ACTIVE, ,20180406,20191001,N.A.,";2;4;1;1;Puhdistamontie 12;1;11100 RIIHIMAeKI;1;RIIHIMAeKI, FI-11100;1;FI;",ISSUED, ,20200406,, ,FI, ,N.A.,Y,N.A.,TPH-RAK Oy,N.A., , ,N.A.,N.A., ,Patentti- ja Rekisterihallitus,743700OO8O2N3TQKJC81,FULLY_CORROBORATED,, ,N.A.,N, ,PRIV
22256624,Spie Batignolles Sud-Ouest SASU,8251535.0,Financiere Spie Batignolles SCA,Industrial,Engineering&Construction,Building-Heavy Construct,FR,FR,FR,N.A.,N.A.,;2;6;1;1;8 Rue Victor Noir;1; ;1;Neuilly Sur Seine;1; ;1;92521;1;France;,N,Building-Heavy Construct,N,Subsidiary,Company,8251535.0,Financiere Spie Batignolles SCA, ,FR,530635Z FP,FR,FR,201.0,Spie Batignolles Sud-Ouest,,BBG001G39VT4,BBG001H4D915,BBG001H4D915,N.A.,Spie Batignolles Sud-Ouest SASU,Financiere Spie Batignolles SC,Financiere Spie Batignolles SC,N.A.,10011.0,20082.0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,8251535.0,Financiere Spie Batignolles SCA,FR, ,www.spiebatignolles.fr,Y,FNSPIE,N.A.,969500T2GE0TB1W6H988, ,33-1-46-40-80-00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A.,N, ,PRIV
21629694,Electrix Pty Ltd,54196082.0,VINCI Energies International & Systems SASU,"Consumer, Non-cyclical",Commercial Services,Building-Maint&Service,AU,AU,FR,VI,VI, ,N,Building-Maint&Service,Y,Subsidiary,Company,115505.0,Vinci SA, ,FR,DG FP,FR,FR,83.0,Electrix Pty,,BBG001HBWDY3,BBG00H1RNQK6,BBG001FFFSQ1,N.A.,Electrix Pty Ltd,VINCI Energies International &,Vinci SA,N.A.,10005.0,20038.0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,FR, ,www.electrix.com.au,Y,DGFP,N.A.,213800WFQ334R8UXUG83, , ,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A.,N, ,PRIV
21599174,New Profit Inc,, ,"Consumer, Non-cyclical",Commercial Services,Non-Profit Charity,US,US,US,MA,N.A.,;2;6;1;1;200 Clarendon Street;1;44th Floor;1;Boston;1;MA;1;02116;1;United States;,N.A.,Non-Profit Charity,N, ,Company,, , , , , , ,655.0, ,,BBG001HBCKC3,N.A.,N.A.,N.A.,New Profit Inc,N.A.,N.A.,N.A.,10005.0,20038.0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,US, ,www.newprofit.com,Y,N.A.,N.A.,N.A., ,1-617-912-8800,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A.,N, ,PRIV
21786069,Deqing Defeng Furniture Co Ltd,, ,"Consumer, Cyclical",Home Furnishings,Home Furnishings,CN,CN,CN,N.A.,N.A., ,N.A.,Home Furnishings,N, ,Company,, , , , , , ,38.0, ,,BBG001HF5RV6,N.A.,N.A.,N.A.,Deqing Defeng Furniture Co Ltd,N.A.,N.A.,N.A.,10004.0,20026.0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,CN, ,N.A.,Y,N.A.,N.A.,N.A., , ,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A.,N, ,PRIV
36534150,CPHCSUB LLC,219150.0,Huntington National Bank/The, , , ,US,US,US,N.A.,OH, ,N, ,N,Integrated,Company,104323.0,Huntington Bancshares Inc/OH, ,US,HBAN US,US,US,,"CPHCSUB, LLC",,BBG0055FRYH7,BBG001FKBR40,BBG001FF2F38,N.A.,CPHCSUB LLC,Huntington National Bank/The,Huntington Bancshares Inc/OH,N.A.,,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,219150.0,Huntington National Bank/The,US, ,N.A.,Y,HBAN,N.A.,549300XTVCVV9I7B5T19, , ,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A.,N, ,INAC
22413733,Vassilias Trading Sa,, ,"Consumer, Cyclical",Home Furnishings,Appliances,GR,GR,GR,N.A.,N.A., ,Y,Appliances,N, ,Company,22413733.0,Vassilias Trading Sa, ,GR,6096487Z GA,GR,GR,35.0,Vassilias Trading Sa,,BBG001G7LP50,N.A.,BBG001G7LP50,N.A.,Vassilias Trading Sa,N.A.,Vassilias Trading Sa,N.A.,10004.0,20026.0,213800WJSUY82RIEV719,ACTIVE,Anonymi Etairia,20140219,20191017,N.A.,";2;3;1;1;8, KELETSEKI STR.;1;ATHENS, GR-I 11145;1;GR;",ISSUED, ,20200314,, ,N.A., ,N.A.,Y,N.A.,VASSILIAS COMMERCIAL SOCIETE ANONYME (VASSILIAS S.A.),213800WJSUY82RIEV719, , ,N.A.,N.A.,;2;1;1;1;VASSILIAS S.A.;,LONDON STOCK EXCHANGE LEI LIMITED,213800WAVVOPS85N2205,FULLY_CORROBORATED,, ,N.A.,N, ,PRIV
51057479,PKO Absolutnej Stopy Zwrotu Europa Wschod - Zachod-fiz,24337356.0,PKO TFI SA/Poland,N.A.,N.A.,N.A.,PL,PL, ,N.A.,N.A., ,N, ,N,Fund Entity,Funds,201728.0,Powszechna Kasa Oszczednosci Bank Polski SA, ,PL,PKO PW,PL,PL,, ,,BBG00DSVWL55,BBG001M0XR06,BBG001FJM0X8,N.A.,PKO Absolutnej Stopy Zwrotu Europa Wschod - Zachod-fiz,PKO TFI SA/Poland,Powszechna Kasa Oszczednosci B,N.A.,,,259400OZQW3TA3S0R771,ACTIVE,fundusze inwestycyjne,20160913,20190906,N.A.,";2;3;1;1;Warszawa Chlodna 52;1;Warszawa, PL-14 00-872;1;PL;",ISSUED, ,20200910,, , , ,N.A., ,PKOBP,PKO Absolutnej Stopy Zwrotu Europa Wschod-Zachod - fiz,P4GTT6GF1W40CVIMFR43, , ,N.A.,N.A., ,Krajowy Depozyt Papierow Wartosciowych S.A.,259400L3KBYEVNHEJF55,FULLY_CORROBORATED,, ,N.A.,N, , 
23369072,Pola Art Foundation,, ,"Consumer, Non-cyclical",Commercial Services,Commercial Services,JP,JP,JP,TK,TK,;2;6;1;1;2-2-3 Nishigotanda;1; ;1;Shinagawa-Ku;1; ;1;141-8523;1;Japan;,N.A.,Commercial Services,N, ,Company,, , , , , , ,84.0, ,,BBG001GZLD37,N.A.,N.A.,N.A.,Pola Art Foundation,N.A.,N.A.,N.A.,10005.0,20038.0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A., ,www.pola-art-foundation.jp,Y,N.A.,N.A.,N.A.,81-3-3493-6293,81-3-3494-8237,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A.,N, ,PRIV
24929829,Curley Thomas Plumbing & Heating Inc,, ,Industrial,Engineering&Construction,Building&Construct-Misc,US,US,US,NY,N.A., ,N.A.,Building&Construct-Misc,N, ,Company,, , , , , , ,202.0, ,,BBG001NB8PD9,N.A.,N.A.,N.A.,Curley Thomas Plumbing & Heating Inc,N.A.,N.A.,N.A.,10011.0,20082.0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,US, ,www.curleyplumbing.com,Y,N.A.,N.A.,N.A., , ,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A.,N, ,PRIV
46066647,ESCI/FL,, , , , ,US, ,US,N.A.,N.A., ,N.A., ,N, ,Company,, , , , , , ,, ,,BBG009DPLLY3,N.A.,N.A.,N.A.,ESCI/FL,N.A.,N.A.,N.A.,,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,US, ,N.A.,Y,N.A.,N.A.,N.A., , ,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A.,N, ,PRIV
21870742,Midland Workover Inc,, , , , ,US,US,US,N.A.,N.A., ,N.A., ,N, ,Company,, , , , , , ,, ,,BBG001HG8V24,N.A.,N.A.,N.A.,Midland Workover Inc,N.A.,N.A.,N.A.,,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,US, ,N.A.,Y,N.A.,N.A.,N.A., , ,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A.,N, ,PRIV
20416888,MJ Smith & Associates Inc,, ,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,US,US,US,CO,CO,;2;6;1;1;5613 DTC Parkway;1;Suite 650;1;Englewood;1;CO;1;80111;1;United States;,N.A.,Invest Mgmnt/Advis Serv,N, ,Company,, , , , , , ,303.0,"M. J. Smith and Associates, Inc.",,BBG001GW7RV8,N.A.,N.A.,N.A.,MJ Smith & Associates Inc,N.A.,N.A.,N.A.,10008.0,20054.0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A., ,www.mj-smith.com,Y,N.A.,N.A.,N.A.,1-303-768-0008,1-303-768-0007,N.A.,;2;5;1;1;Institutional Financial Strategies Inc;1;MJ Smith & Associates Inc;1;Smith Collins & Associates Inc;1;MJ Smith & Associates Inc;1;MJ Smith & Associates;,N.A.,N.A.,N.A.,N.A.,, ,N.A.,N, ,PRIV
57707907,Greenheart Capital LLC,, , , , ,AE,AE,AE,N.A.,N.A., ,N.A., ,N, ,Company,, , , , , , ,, ,,BBG00JHQGFV7,N.A.,N.A.,N.A.,Greenheart Capital LLC,N.A.,N.A.,N.A.,,,5493007SEF7C1K1DLB97,ACTIVE,LIMITED LIABILITY COMPANY,20171212,20190301,N.A.,";2;5;1;1;Dubai International Financial Centre;1;Emirates Financial Towers;1;North Tower;1;Dubai, AE-DU;1;AE;",LAPSED, ,20181208,, ,AE, ,N.A.,Y,N.A.,Greenheart Capital LLC,N.A., , ,N.A.,N.A., ,Business Entity Data B.V.,EVK05KS7XY1DEII3R011,ENTITY_SUPPLIED_ONLY,, ,N.A.,N, ,PRIV
17396201,Fujitsu Advanced Engineering Ltd,113614.0,Fujitsu Ltd,Technology,Computers,Computer Services,JP,JP,JP,N.A.,N.A.,;2;6;1;1;17F Shinjuku Park Tower;1;3-7-1 Nishishinjuku;1;Shinjuku-Ku;1; ;1;160-0023;1;Japan;,N,Computer Services,N,Subsidiary,Company,113614.0,Fujitsu Ltd, ,JP,6702 JP,JP,JP,251.0,Fujitsu Advanced Engineering Limited,,BBG001GDW1N8,BBG001FFCTX4,BBG001FFCTX4,N.A.,Fujitsu Advanced Engineering Ltd,Fujitsu Ltd,Fujitsu Ltd,N.A.,10013.0,20106.0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,113614.0,Fujitsu Ltd,JP, ,jp.fujitsu.com/fae,Y,FUJITS,N.A.,3538000246DHJLRTUZ24,81-3-5324-1560,81-3-5324-1500,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A.,N, ,PRIV
46332425,Proyecto America SAS,, ,"Consumer, Cyclical",Lodging,Hotels&Motels,CO,CO,CO,N.A.,N.A.,;2;6;1;1; ;1; ;1; ;1; ;1; ;1;Colombia;,Y,Hotels&Motels,N, ,Company,46332425.0,Proyecto America SAS,PROYCO,CO,1293294D CB,CO,CO,43.0, ,,BBG009JH9PM3,N.A.,BBG009JH9PM3,N.A.,Proyecto America SAS,N.A.,Proyecto America SAS,N.A.,10004.0,20029.0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A., ,N.A.,Y,N.A.,N.A.,N.A., , ,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A.,N, ,PRIV
58606182,Retep Hirtshals ApS,, , , , ,DK,DK,DK,N.A.,N.A., ,N.A., ,N, ,Company,, , , , , , ,,Retep Hirtshals ApS,,BBG00JR89VS3,N.A.,N.A.,N.A.,Retep Hirtshals ApS,N.A.,N.A.,N.A.,,,549300VCKXMGTSFZIW30,ACTIVE,Anpartsselskab,20180110,20190110,N.A.,";2;3;1;1;Nejstlunden 31;1;Hirtshals, DK-81 9850;1;DK;",LAPSED, ,20190109,, ,DK, ,N.A.,Y,N.A.,Retep Hirtshals ApS,N.A., , ,N.A.,N.A., ,Business Entity Data B.V.,EVK05KS7XY1DEII3R011,FULLY_CORROBORATED,, ,N.A.,N, ,PRIV
41106624,'fishservis' LLC,, ,"Consumer, Non-cyclical",Food,Food-Wholesale/Distrib,RU,RU,RU,N.A.,N.A., ,N.A.,Food-Wholesale/Distrib,N, ,Company,, , , , , , ,113.0, ,,BBG006Q5QYY6,N.A.,N.A.,N.A.,'fishservis' LLC,N.A.,N.A.,N.A.,10005.0,20040.0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,RU, ,N.A.,Y,N.A.,N.A.,N.A., , ,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A.,N, ,PRIV
38499821,Peter's Polyethylene Industries Pte Ltd,, ,Industrial,Packaging&Containers,Containers-Paper/Plastic,SG,SG,SG,N.A.,N.A., ,N.A.,Containers-Paper/Plastic,N, ,Company,, , , , , , ,230.0, ,,BBG005SBN196,N.A.,N.A.,N.A.,Peter's Polyethylene Industries Pte Ltd,N.A.,N.A.,N.A.,10011.0,20089.0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,SG, ,N.A.,Y,N.A.,N.A.,N.A., , ,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A.,N, ,PRIV
31661349,David & Vickie Smick Foundation/The,, ,"Consumer, Non-cyclical",Commercial Services,Non-Profit Charity,US,US,US,FL,N.A., ,N.A.,Non-Profit Charity,N, ,Company,, , , , , , ,655.0, ,,BBG0033BJD79,N.A.,N.A.,N.A.,David & Vickie Smick Foundation/The,N.A.,N.A.,N.A.,10005.0,20038.0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,US, ,N.A.,Y,N.A.,N.A.,N.A., , ,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A.,N, ,PRIV
